Time_s,Ch_0,Ch_1,Ch_2,Ch_3,Ch_4,Ch_5,Ch_6
0.138259,-5.495216,-0.105530,0.000183,0.951050,-8.694656,19.740458,0.717557
0.138724,-5.495048,-0.103027,-0.005920,0.962463,-7.106870,19.511450,1.396947
0.139190,-5.495216,-0.098145,-0.006836,0.962891,-4.633588,20.564886,1.427481
0.139655,-5.495216,-0.098206,-0.000977,0.960938,-0.381679,20.740458,0.793893
0.140121,-5.495216,-0.093994,0.001587,0.956665,4.465649,18.954199,-0.045802
0.140586,-5.495216,-0.093994,0.001587,0.956665,4.465649,18.954199,-0.045802
0.141052,-5.495048,-0.095886,-0.000366,0.946350,8.770992,17.900763,0.282443
0.141517,-5.494713,-0.097534,0.001404,0.941345,7.946565,19.404581,1.152672
0.141983,-3.974502,-0.101562,0.003418,0.937744,5.854962,19.938931,1.160305
0.142448,-1.333227,-0.106628,0.006775,0.937378,3.198473,20.061069,0.595420
0.142914,-3.117800,-0.104553,0.010254,0.935303,2.358779,19.610687,0.435115
0.143379,4.065644,-0.103577,0.014404,0.932312,1.557252,19.099237,0.541985
0.143845,5.499916,-0.099731,0.011841,0.930176,0.687023,18.832062,1.335878
0.144310,5.499916,-0.101257,0.008301,0.937195,-0.847328,19.335878,2.053435
0.144776,5.499916,-0.100281,0.000610,0.946045,-3.099237,19.603054,1.938931
0.145241,5.499916,-0.103577,-0.003723,0.948425,-5.587786,20.358778,1.732824
0.145707,5.499916,-0.108765,-0.003418,0.947021,-6.435114,21.969465,1.557252
0.146172,5.499916,-0.108765,-0.003418,0.947021,-6.435114,21.969465,1.557252
0.146638,5.499916,-0.107117,0.007385,0.952026,1.427481,20.053434,3.053435
0.147103,5.499916,-0.106506,0.009277,0.967773,8.816793,17.648855,3.824427
0.147569,5.499916,-0.097107,0.015076,0.975952,16.396946,16.030535,4.129771
0.148034,5.499916,-0.085693,0.020996,0.971741,20.984734,15.610687,4.122138
0.148500,5.499916,-0.077393,0.025696,0.945862,20.580153,16.251909,3.740458
0.148965,0.886748,-0.077148,0.027344,0.922180,14.969465,18.351145,3.816794
0.149431,-0.005203,-0.079285,0.029663,0.914978,6.450382,20.931297,3.038168
0.149896,-1.177798,-0.089233,0.025818,0.914978,1.358779,21.877863,2.610687
