Rel_Time,System_Time,S6_EMG_1
0.188069,18:00:50.908,-5.494881
0.188534,18:00:50.909,-5.494881
0.189000,18:00:50.909,-5.494881
0.189466,18:00:50.910,-5.495048
0.189931,18:00:50.910,-5.494881
0.190397,18:00:50.910,-5.494881
0.190862,18:00:50.911,-5.494881
0.191328,18:00:50.911,-5.494881
0.191793,18:00:50.912,-5.495048
0.192259,18:00:50.912,-5.494881
0.192724,18:00:50.913,-5.495048
0.193190,18:00:50.913,-5.494881
0.193655,18:00:50.914,-5.495048
0.194121,18:00:50.914,-5.495048
0.194586,18:00:50.915,-5.495048
0.195052,18:00:50.915,-5.495048
0.195517,18:00:50.916,-5.494881
0.195983,18:00:50.916,-5.495048
0.196448,18:00:50.916,-5.495048
0.196914,18:00:50.917,-5.494881
0.197379,18:00:50.917,-5.495048
0.197845,18:00:50.918,-5.495048
0.198310,18:00:50.918,-5.495048
0.198776,18:00:50.919,-5.495048
0.199241,18:00:50.919,-5.495048
0.199707,18:00:50.920,-5.495048
0.200172,18:00:50.920,-5.495048
0.200638,18:00:50.921,-5.495048
0.201103,18:00:50.921,-5.446372
0.201569,18:00:50.922,-5.110842
0.202034,18:00:50.922,-4.722606
0.202500,18:00:50.923,-4.326986
0.202966,18:00:50.923,-3.964263
0.203431,18:00:50.923,-3.624537
0.203897,18:00:50.924,-3.277760
0.204362,18:00:50.924,-2.944915
0.204828,18:00:50.925,-2.668299
0.205293,18:00:50.925,-2.468559
0.205759,18:00:50.926,-2.300710
0.206224,18:00:50.926,-2.099626
0.206690,18:00:50.927,-1.884443
0.207155,18:00:50.927,-1.699306
0.207621,18:00:50.928,-1.540185
0.208086,18:00:50.928,-1.387106
0.208552,18:00:50.929,-1.219760
0.209017,18:00:50.929,-1.020691
0.209483,18:00:50.930,-0.811719
0.209948,18:00:50.930,-0.604425
0.210414,18:00:50.930,-0.394278
0.210879,18:00:50.931,-0.244221
0.211345,18:00:50.931,-0.209644
0.211810,18:00:50.932,-0.287190
